Product Name,Sales,Profit,Profit Margin
GBC DocuBind P400 Electric Binding System,5443.96,2504.2216,46.0
Hoover Upright Vacuum With Dirt Cup,5211.54,1511.3465999999999,29.0
Iceberg Mobile Mega Data/Printer Cart ,5174.1900000000005,1345.2894000000001,26.0
Canon PC1060 Personal Laser Copier,4899.93,2302.9671,46.99999999999999
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,4799.76,2063.8968,43.0
Staples,4679.23,2011.1855,41.02985074626866
Global Deluxe High-Back Manager's Chair,4575.68,1326.9472,29.0
Deluxe Rollaway Locking File with Drawer,4574.68,1280.9104,27.999999999999996
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,4562.74,1095.0576,24.0
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9,1013.127,23.0
Samsung Galaxy Mega 6.3,4199.9,1091.974,26.0
Hon Pagoda Stacking Chairs,4172.74,1251.8220000000001,30.0
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",4147.66,1244.298,30.000000000000004
Standard Rollaway File with Lock,4144.37,1077.5362,26.0
Letter Size Cart,4142.94,1201.4526,29.0
Logitech G19 Programmable Gaming Keyboard,4091.67,736.5006,17.999999999999996
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4059.3,40.593,1.0
Fellowes Staxonsteel Drawer Files,4056.5699999999997,567.9198,14.0
Bady BDG101FRU Card Printer,3999.95,1159.9855,29.000000000000004
Hewlett Packard 610 Color Digital Copier / Printer,3999.92,1799.964,44.99999999999999
Samsung Galaxy S4 Active,3999.92,1039.9792,26.0
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99,50.0
Hoover Shoulder Vac Commercial Portable Vacuum,3936.0199999999995,984.0049999999999,25.0
Tennsco 16-Compartment Lockers with Coat Rack,3887.34,932.9615999999999,24.0
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.1800000000003,1503.5202,39.0
Hon 94000 Series Round Tables,3850.34,346.5306,9.0
"Fellowes Strictly Business Drawer File, Letter/Legal Size",3802.9500000000003,456.354,12.000000000000002
Smead Adjustable Mobile File Trolley with Lockable Top,3772.71,1018.6316999999999,27.0
Tennsco Single-Tier Lockers,3753.3999999999996,187.67000000000002,5.0
Panasonic KX-TG9471B,3723.8100000000004,1042.6668,28.0
Canon PC1080F Personal Copier,3599.94,1403.9766,39.0
Polycom CX600 IP Phone VoIP phone,3599.3999999999996,971.8380000000001,27.0
Balt Solid Wood Round Tables,3571.92,321.4728,9.0
HON 5400 Series Task Chairs for Big and Tall,3504.9,700.98,20.0
Hon 5100 Series Wood Tables,3491.76,628.5167999999999,18.0
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.87040000000002,6.000000000000001
Global Commerce Series High-Back Swivel/Tilt Chairs,3419.76,854.94,25.0
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,1668.205,49.0
Hon GuestStacker Chair,3400.05,884.013,26.0
Bush Advantage Collection Racetrack Conference Table,3393.68,610.8624,18.0
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3392.7400000000002,882.1124,26.0
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3357.72,873.0072,26.0
WD My Passport Ultra 2TB Portable External Hard Drive,3332.0,533.12,16.0
Ibico Ibimaster 300 Manual Binding System,3311.91,1490.3595,44.99999999999999
"Lifetime Advantage Folding Chairs, 4/Carton",3271.2000000000003,915.9359999999999,28.0
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,3257.64,749.2572,23.0
Hon Multipurpose Stacking Arm Chairs,3249.0,844.74,26.0
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",3185.7,700.854,22.0
GBC DocuBind 300 Electric Binding Machine,3155.88,1514.8224,48.0
Canon PC940 Copier,3149.93,1480.4671,47.0
Fellowes PB300 Plastic Comb Binding Machine,3103.92,1458.8424,47.0
Cisco 9971 IP Video Phone Charcoal,3080.0,1416.8,46.0
Google Nexus 5,3059.83,764.9575,25.0
Polycom VVX 310 VoIP phone,3059.83,795.5558000000001,26.0
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,1459.2,48.00000000000001
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",3037.6,486.01599999999996,16.0
Canon Image Class D660 Copier,2999.95,1379.977,46.00000000000001
Global Comet Stacking Arm Chair,2957.5699999999997,739.3924999999999,25.0
Avanti 4.4 Cu. Ft. Refrigerator,2895.6800000000003,810.7904,28.0
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),2879.84,172.7904,6.0
Wilson SignalBoost 841262 DB PRO Amplifier Kit,2879.6,863.8799999999999,30.0
"Bevis Oval Conference Table, Walnut",2870.78,488.0326,17.0
Fellowes Stor/Drawer Steel Plus Storage Drawers,2862.9,171.774,6.0
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2847.84,598.0464,21.0
Bretford CR8500 Series Meeting Room Furniture,2806.86,701.715,25.0
Fellowes Officeware Wire Shelving,2784.73,55.6946,2.0
Space Solutions HD Industrial Steel Shelving.,2759.28,82.7784,3.0
Maxell iVDR EX 500GB Cartridge,2755.4,1184.8220000000001,43.0
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2672.88,775.1352,29.0
Imation Bio 8GB USB Flash Drive Imation Corp,2659.84,398.976,15.0
Cisco SPA301,2651.83,795.549,30.0
Wireless Extenders zBoost YX545 SOHO Signal Booster,2645.86,714.3822,27.0
Bretford Rectangular Conference Table Tops,2632.91,605.5693,23.0
Global Executive Mid-Back Manager's Chair,2618.82,680.8932,26.0
SAFCO Boltless Steel Shelving,2613.7200000000003,26.1372,1.0
High-Back Leather Manager's Chair,2599.8,233.98199999999997,8.999999999999998
Fellowes Super Stor/Drawer Files,2584.8,491.112,19.0
Hon 4070 Series Pagoda Round Back Stacking Chairs,2567.84,718.9952,27.999999999999996
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54,51.050799999999995,2.0
Global Adaptabilities Conference Tables,2528.82,480.47580000000005,19.0
Carina Double Wide Media Storage Towers in Natural & Black,2510.38,100.4152,3.9999999999999996
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,2509.05,0.0,0.0
Compact Automatic Electric Letter Opener,2505.51,50.1102,2.0
Bevis 36 x 72 Conference Tables,2489.7999999999997,547.756,22.0
ClearOne CHATAttach 160 - speaker phone,2479.96,743.988,30.000000000000004
Economy Rollaway Files,2478.0,644.28,26.0
Mitel MiVoice 5330e IP Phone,2474.91,643.4766,26.0
Nortel Meridian M3904 Professional Digital phone,2463.84,714.5136,29.0
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",2457.75,1204.2975000000001,49.0
Hon Olson Stacker Chairs,2383.02,691.0758,28.999999999999996
Samsung Galaxy S4 Mini,2349.95,681.4855,28.999999999999996
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2310.02,693.006,30.0
Xiaomi Mi3,2279.96,592.7896,25.999999999999996
Hon Rectangular Conference Tables,2275.5,386.835,17.0
Chromcraft Round Conference Tables,2265.77,475.8117,21.000000000000004
Bevis 44 x 96 Conference Tables,2264.9,385.033,17.0
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244.48,493.7856,22.0
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2229.04,668.712,30.0
Xerox 1915,2201.85,1056.8880000000001,48.00000000000001
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.8368,26.000000000000004
Hoover WindTunnel Plus Canister Vacuum,2179.5,610.26,27.999999999999996
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",2178.5,370.345,17.0
Fellowes Powershred HS-440 4-Sheet High Security Shredder,2169.86,976.437,45.0
Kensington 7 Outlet MasterPiece Power Center,2135.76,619.3704,29.0
"Carina Mini System Audio Rack, Model AR050B",2108.62,63.2586,3.0
"Global Leather and Oak Executive Chair, Black",2106.86,610.9893999999999,28.999999999999996
Aastra 57i VoIP phone,2100.9300000000003,546.2418,26.0
Imation Bio 2GB USB Flash Drive Imation Corp,2098.88,881.5296,42.0
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,2098.4,545.584,25.999999999999996
Premier Electric Letter Opener,2085.48,104.274,5.0
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2051.7599999999998,389.83439999999996,19.0
Global Ergonomic Managers Chair,1990.7800000000002,517.6028,26.0
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",1984.6,992.3,50.0
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,593.964,30.0
Logitech G35 7.1-Channel Surround Sound Headset,1949.8500000000001,662.949,34.0
Bush Advantage Collection Round Conference Table,1913.4,401.814,21.0
KI Adjustable-Height Table,1891.56,457.41360000000003,24.857142857142858
BlackBerry Q10,1889.85,472.4625,25.0
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,1884.42,226.1304,12.0
Hon Every-Day Series Multi-Task Chairs,1879.8000000000002,375.96,20.0
Jabra SPEAK 410,1879.8,526.344,28.0
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1873.44,505.8288,27.0
Nortel Meridian M5316 Digital phone,1812.65,471.289,26.0
"Iceberg OfficeWorks 42"" Round Tables",1811.7599999999998,271.764,15.0
Digium D40 VoIP phone,1805.8600000000001,523.6994,28.999999999999993
Hewlett Packard 310 Color Digital Copier,1799.94,539.982,30.0
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,1799.88,881.9412,49.0
GE 30524EE4,1763.91,511.5339,28.999999999999996
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",1747.25,629.01,36.0
Bretford CR4500 Series Slim Rectangular Table,1741.0500000000002,400.4415,23.0
"Global High-Back Leather Tilter, Burgundy",1721.8600000000001,189.4046,11.0
"Global Fabric Manager's Chair, Dark Gray",1716.66,429.165,25.0
Logitech G700s Rechargeable Gaming Mouse,1699.83,713.9286,42.0
"24 Capacity Maxi Data Binder Racks, Pearl",1684.4,421.1,25.0
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1669.6,116.872,7.000000000000001
"SAFCO Commercial Wire Shelving, Black",1657.6799999999998,0.0,0.0
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",1652.94,314.0586,19.0
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1652.94,231.4116,13.999999999999998
Plantronics Audio 995 Wireless Stereo Headset,1649.25,544.2524999999999,32.99999999999999
"Lesro Round Back Collection Coffee Table, End Table",1642.95,213.58350000000002,13.0
Enermax Aurora Lite Keyboard,1641.1499999999999,722.106,44.0
Safco Industrial Wire Shelving System,1637.64,0.0,0.0
Sensible Storage WireTech Storage Systems,1632.54,81.62700000000001,5.0
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82,260.6112,16.0
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1614.2400000000002,387.4176,24.0
Canon PC-428 Personal Copier,1599.92,751.9624,47.0
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1599.9,543.966,34.0
Hon Mobius Operator's Chair,1598.87,351.7514,22.0
Plantronics Calisto P620-M USB Wireless Speakerphone System,1567.92,423.3384,27.0
GBC DocuBind TL200 Manual Binding Machine,1567.8600000000001,736.8942,47.0
"Fellowes Mobile File Cart, Black",1554.5,419.715,27.0
Hon Olson Stacker Stools,1548.9099999999999,433.6948,27.999999999999996
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1530.0,550.8,36.0
Ibico Hi-Tech Manual Binding System,1524.95,686.2275,44.99999999999999
Tennsco Regal Shelving Units,1521.15,45.6345,3.0
"Tenex Chairmat w/ Average Lip, 45"" x 53""",1513.6,151.36,10.000000000000002
"Global Manager's Adjustable Task Chair, Storm",1509.8,437.842,29.000000000000004
Brother DCP1000 Digital 3 in 1 Multifunction Machine,1499.95,524.9825000000001,35.0
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,1499.85,659.934,44.0
Nortel Networks T7316 E Nt8 B27,1495.78,373.945,25.0
3.6 Cubic Foot Counter Height Office Refrigerator,1473.1,412.468,28.000000000000004
Belkin 5 Outlet SurgeMaster Power Centers,1470.96,411.8688,28.0
Multicolor Computer Printout Paper,1467.9,704.592,48.00000000000001
Kensington 4 Outlet MasterPiece Compact Power Control Center,1463.76,409.8528,28.0
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,1458.65,423.0085,28.999999999999996
AT&T CL83451 4-Handset Telephone,1441.93,418.1597,28.999999999999996
Pyle PMP37LED,1439.8500000000001,388.7595,27.0
Deflect-o Glass Clear Studded Chair Mats,1430.1399999999999,314.6308,22.0
Honeywell Quietcare HEPA Air Cleaner,1415.7,467.181,33.0
Avanti 1.7 Cu. Ft. Refrigerator,1413.72,395.8416,28.000000000000004
Fellowes High-Stak Drawer Files,1409.52,324.1896,23.0
O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86,140.686,10.0
"Hunt PowerHouse Electric Pencil Sharpener, Blue",1405.26,421.578,30.000000000000004
Canon Imageclass D680 Copier / Fax,1399.98,629.991,45.0
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),1399.96,391.9888,28.000000000000004
Xerox 1908,1399.5,685.755,49.0
Avaya IP Phone 1140E VoIP phone,1394.95,362.687,26.0
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",1383.06,373.4262,27.0
Cisco SPA525G2 5-Line IP Phone,1379.92,648.5624,47.0
Sauder Inglewood Library Bookcases,1367.8400000000001,314.6032,23.0
Logitech G600 MMO Gaming Mouse,1359.83,489.5388,36.0
Motorola Droid Maxx,1349.91,377.97479999999996,27.999999999999996
Panasonic KX MC6040 Color Laser Multifunction Printer,1349.85,364.4595,27.0
"SAFCO Commercial Wire Shelving, 72h",1347.28,0.0,0.0
GBC ProClick Punch Binding System,1343.58,658.3542,49.0
Luxo Adjustable Task Clamp Lamp,1332.6,346.476,26.0
Luxo Professional Combination Clamp-On Lamps,1329.9,345.774,26.0
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,1313.5500000000002,394.06499999999994,29.99999999999999
Plantronics Audio 478 Stereo USB Headset,1299.74,454.909,35.0
"Bevis Round Bullnose 29"" High Table Top",1298.55,311.652,24.0
Plantronics S12 Corded Telephone Headset System,1293.48,517.392,40.0
Aastra 6757i CT Wireless VoIP phone,1292.6399999999999,374.86560000000003,29.000000000000004
Logitech Gaming G510s - Keyboard,1274.85,458.94599999999997,36.0
Xerox 1919,1270.69,622.6381,49.0
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1268.82,266.4522,21.000000000000004
Tyvek Side-Opening Peel & Seel Expanding Envelopes,1266.72,570.024,45.0
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1264.08,303.3792,24.0
Jawbone JAMBOX Wireless Bluetooth Speaker,1263.92,606.6816,48.0
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1263.48,75.8088,6.0
Hon 2111 Invitation Series Corner Table,1256.22,75.3732,6.0
Space Solutions Commercial Steel Shelving,1228.35,61.4175,5.0
Xerox 1917,1222.75,574.6925,47.0
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1215.92,316.1392,26.0
Avaya 5420 Digital phone,1214.9099999999999,303.72749999999996,25.0
Polycom SoundStation2 EX Conference phone,1214.85,352.3065,29.000000000000004
DMI Arturo Collection Mission-style Design Wood Chair,1207.84,314.0384,26.000000000000007
"Hon Metal Bookcases, Putty",1206.66,349.9314,28.999999999999996
Logitech Wireless Headset h800,1199.88,419.95799999999997,35.0
Razer Kraken PRO Over Ear PC and Music Headset,1199.85,359.95500000000004,30.0
Tenex Antistatic Computer Chair Mats,1196.86,119.686,10.000000000000002
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",1195.87,47.8348,4.0
Safco Contoured Stacking Chairs,1192.0,298.0,25.0
"Tenex ""The Solids"" Textured Chair Mats",1189.32,202.18439999999998,17.0
LG G3,1175.94,341.0226,28.999999999999996
GE 30522EE2,1159.9,336.371,28.999999999999996
Microsoft Sculpt Comfort Mouse,1158.55,509.762,44.0
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1152.35,241.9935,21.0
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1150.92,368.2944,32.0
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",1142.6799999999998,468.4988,41.0
VTech DS6151,1133.91,317.4948,28.0
AT&T TR1909W,1133.91,294.8166,26.0
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1119.84,380.7456,34.0
Hon Non-Folding Utility Tables,1115.17,334.551,30.0
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1112.94,222.588,20.0
Fellowes Recycled Storage Drawers,1110.3,77.721,7.0
Xerox 1945,1106.73,542.2977,49.0
Sharp 1540cs Digital Laser Copier,1099.98,549.99,50.0
Motorola L703CM,1091.93,272.9825,25.0
GBC DocuBind P50 Personal Binding Machine,1087.6599999999999,511.2002,47.0
"Carina 42""Hx23 3/4""W Media Storage Unit",1052.74,21.0548,1.9999999999999998
Logitech Wireless Marathon Mouse M705,1049.79,451.4097,43.0
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",1046.96,261.74,25.0
APC 7 Outlet Network SurgeArrest Surge Protector,1046.24,313.87199999999996,30.0
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",1042.08,291.7824,28.000000000000004
Star Micronics TSP100 TSP143LAN Receipt Printer,1035.8,269.308,26.0
First Data FD10 PIN Pad,1027.0,102.7,10.0
Bevis Round Conference Table Top & Single Column Base,1024.38,215.1198,20.999999999999996
Fellowes PB200 Plastic Comb Binding Machine,1019.94,469.1724,46.0
"File Shuttle II and Handi-File, Black",1016.7,254.175,25.0
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,1012.2,293.538,28.999999999999996
Ooma Telo VoIP Home Phone System,1007.9200000000001,251.98000000000002,25.0
Nokia Lumia 925,1007.9200000000001,262.05920000000003,26.0
Xerox 1934,1007.6399999999999,493.7436,49.0
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",998.8199999999999,159.8112,16.0
GBC DocuBind P100 Manual Binding Machine,995.88,448.146,45.0
Dana Halogen Swing-Arm Architect Lamp,983.28,275.3184,28.0
SanDisk Cruzer 64 GB USB Flash Drive,980.64,294.192,30.000000000000004
Electrix Halogen Magnifier Lamp,971.5,252.59,26.0
Xerox 1885,960.8,461.184,48.0
Logitech Wireless Gaming Headset G930,959.94,355.1778,37.0
Vtech CS6719,959.9,268.772,28.0
Xerox 1906,956.8799999999999,449.7336,47.0
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",956.16,267.7248,28.0
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,954.24,104.9664,11.0
Polycom SoundPoint Pro SE-225 Corded phone,951.92,266.5376,28.000000000000004
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,951.8299999999999,228.4392,24.000000000000004
Harbour Creations Steel Folding Chair,948.75,284.625,30.0
Xerox 189,943.65,452.952,48.00000000000001
Belkin 8 Outlet Surge Protector,942.54,263.9112,28.000000000000007
Recycled Steel Personal File for Standard File Folders,939.9300000000001,244.3818,26.0
Luxo Professional Magnifying Clamp-On Fluorescent Lamps,936.0899999999999,131.0526,14.000000000000002
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,930.32,241.8832,25.999999999999996
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",915.9000000000001,421.31399999999996,46.0
Global Highback Leather Tilter in Burgundy,909.9000000000001,145.584,16.0
"Global Airflow Leather Mesh Back Chair, Black",905.8799999999999,271.764,30.0
Logitech Illuminated - Keyboard,899.85,431.928,48.0
"SAFCO Mobile Desk Side File, Wire Frame",897.96,233.46959999999999,26.0
Global Comet Stacking Armless Chair,897.15,251.202,28.000000000000004
Adtran 1202752G1,881.93,229.3018,26.0
Eureka The Boss Cordless Rechargeable Stick Vac,866.66,233.9982,27.0
Kensington Expert Mouse Optical USB Trackball for PC or Mac,854.9100000000001,256.473,30.0
Konftel 250 Conference phone - Charcoal black,854.46,222.1596,26.0
"Hon Metal Bookcases, Gray",851.76,229.9752,27.0
Jabra Supreme Plus Driver Edition Headset,839.9300000000001,235.18040000000002,28.0
Maxell LTO Ultrium - 800 GB,839.6999999999999,159.543,19.0
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",834.68,392.2996,47.00000000000001
Toshiba IPT2010-SD IP Telephone,833.94,216.8244,25.999999999999996
Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,832.25,199.74,24.000000000000004
Xerox 1888,832.2,399.456,48.0
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",832.1999999999999,399.456,48.00000000000001
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",831.64,216.2264,26.0
SAFCO Arco Folding Chair,828.6,240.294,28.999999999999996
AT&T 1080 Phone,821.94,213.7044,25.999999999999996
Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,812.1600000000001,235.52639999999997,28.999999999999993
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,809.73,356.2812,44.0
Cameo Buff Policy Envelopes,808.99,380.2253,47.0
Advantus Rolling Drawer Organizers,808.0799999999999,210.1008,26.0
Hon Valutask Swivel Chairs,807.8399999999999,129.2544,16.0
Hon 4-Shelf Metal Bookcases,807.8399999999999,201.95999999999998,25.0
"Sauder Camden County Collection Libraries, Planked Cherry Finish",804.86,72.4374,9.0
Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,799.9,287.964,36.0
Executive Impressions Supervisor Wall Clock,799.8999999999999,255.968,32.0
Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,797.79,191.4696,24.0
Logitech K350 2.4Ghz Wireless Keyboard,796.32,87.5952,11.0
ClearOne Communications CHAT 70 OC Speaker Phone,794.95,206.687,26.0
"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",792.74,372.5878,47.0
"Global Value Steno Chair, Gray",789.62,197.405,25.0
Hon Racetrack Conference Tables,787.53,165.3813,21.000000000000004
Global Italian Leather Office Chair,785.88,212.1876,27.0
Office Star - Mesh Screen back chair with Vinyl seat,785.88,86.4468,11.0
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",785.08,70.6572,9.0
Tenex B1-RE Series Chair Mats for Low Pile Carpets,781.66,132.8822,17.0
"Situations Contoured Folding Chairs, 4/Set",780.78,195.195,25.0
Xerox 1893,778.8100000000001,381.6169,49.0
Plantronics Cordless Phone Headset with In-line Volume - M214C,768.9,207.603,27.0
Ibico Plastic Spiral Binding Combs,760.0,349.59999999999997,46.0
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",756.9100000000001,333.0404,43.99999999999999
Ames Color-File Green Diamond Border X-ray Mailers,755.8199999999999,355.2354,47.0
Fellowes Bankers Box Recycled Super Stor/Drawer,755.72,45.343199999999996,6.000000000000001
"Global Leather & Oak Executive Chair, Burgundy",754.45,60.356,8.0
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",752.7099999999999,150.542,20.0
Case Logic 2.4GHz Wireless Keyboard,749.85,59.988,8.0
Belkin F9G930V10-GRY 9 Outlet Surge,748.72,217.1288,29.0
Geemarc AmpliPOWER60,742.4,215.296,29.0
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",741.86,148.372,20.0
"Trav-L-File Heavy-Duty Shuttle II, Black",740.69,222.207,30.0
Fellowes Bankers Box Stor/Drawer Steel Plus,735.54,73.554,10.0
Xerox 1941,733.95,352.296,48.0
Xerox 1891,733.65,344.8155,47.0
Tennsco Industrial Shelving,733.65,14.673,2.0
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",732.55,197.7885,27.0
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,731.64,212.1756,29.0
Home/Office Personal File Carts,729.96,182.49,25.0
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,727.84,80.0624,11.0
O'Sullivan Living Dimensions 2-Shelf Bookcases,725.88,72.588,10.0
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",724.5,217.35,30.0
Premier Automatic Letter Opener,721.11,21.6333,3.0
Logitech G13 Programmable Gameboard with LCD Display,719.91,79.1901,11.0
Logitech G602 Wireless Gaming Mouse,719.91,259.1676,36.0
Xerox 191,719.28,338.0616,47.0
Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,718.65,280.2735,39.0
Wilson Electronics DB Pro Signal Booster,716.0,193.32,27.0
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,709.5,205.755,29.0
WD My Passport Ultra 500GB Portable External Hard Drive,708.0,120.36,17.0
"Sauder Forest Hills Library, Woodland Oak Finish",704.9,56.392,8.0
Apple iPhone 5C,699.93,181.9818,26.0
ClearSounds CSC500 Amplified Spirit Phone Corded phone,699.9,195.972,28.000000000000004
